Path,TotalSegPath
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn24737.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn24737/trn24737.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn08439.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn08439/trn08439.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn11613.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn11613/trn11613.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn15638.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn15638/trn15638.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03087.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03087/trn03087.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn09140.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn09140/trn09140.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21206.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21206/trn21206.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn15152.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn15152/trn15152.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn23381.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn23381/trn23381.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn17497.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn17497/trn17497.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06162.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06162/trn06162.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn08149.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn08149/trn08149.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn11496.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn11496/trn11496.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn13476.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn13476/trn13476.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn13236.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn13236/trn13236.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn17401.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn17401/trn17401.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn04604.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn04604/trn04604.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn24177.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn24177/trn24177.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn22454.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn22454/trn22454.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn17229.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn17229/trn17229.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn08448.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn08448/trn08448.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn12816.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn12816/trn12816.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn14768.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn14768/trn14768.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06904.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06904/trn06904.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn00067.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn00067/trn00067.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06557.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06557/trn06557.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn07495.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn07495/trn07495.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn10144.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn10144/trn10144.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn16245.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn16245/trn16245.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn01513.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn01513/trn01513.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn07732.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn07732/trn07732.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03035.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03035/trn03035.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03443.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03443/trn03443.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03999.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03999/trn03999.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06110.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06110/trn06110.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn14819.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn14819/trn14819.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03256.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03256/trn03256.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn24100.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn24100/trn24100.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn11734.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn11734/trn11734.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21178.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21178/trn21178.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06918.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06918/trn06918.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn24593.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn24593/trn24593.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06847.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06847/trn06847.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn14165.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn14165/trn14165.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21294.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21294/trn21294.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21532.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21532/trn21532.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn11615.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn11615/trn11615.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn00437.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn00437/trn00437.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn20166.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn20166/trn20166.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn01226.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn01226/trn01226.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03909.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03909/trn03909.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn16596.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn16596/trn16596.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn01694.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn01694/trn01694.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn25009.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn25009/trn25009.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn07955.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn07955/trn07955.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn08497.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn08497/trn08497.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21343.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21343/trn21343.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn02502.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn02502/trn02502.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn02354.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn02354/trn02354.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn13865.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn13865/trn13865.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn18762.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn18762/trn18762.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn01928.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn01928/trn01928.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn10666.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn10666/trn10666.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn14337.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn14337/trn14337.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn14214.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn14214/trn14214.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn09298.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn09298/trn09298.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn01181.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn01181/trn01181.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn02929.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn02929/trn02929.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03119.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03119/trn03119.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn03330.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn03330/trn03330.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn10188.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn10188/trn10188.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn08247.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn08247/trn08247.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn12140.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn12140/trn12140.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn02845.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn02845/trn02845.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn10485.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn10485/trn10485.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn15394.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn15394/trn15394.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn07743.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn07743/trn07743.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21336.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21336/trn21336.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn02652.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn02652/trn02652.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn02318.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn02318/trn02318.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn11935.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn11935/trn11935.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21625.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21625/trn21625.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn07130.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn07130/trn07130.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06845.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06845/trn06845.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn06232.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn06232/trn06232.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn24387.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn24387/trn24387.nii.gz
/data4/haoranlai/Dataset/RAD_ChestCT/image/trn21475.nii.gz,/data4/haoranlai/Dataset/RAD_ChestCT/RadchestCTseg/trn21475/trn21475.nii.gz
