0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.20722032,-0.056689788,-0.15914975,-0.15598735,-0.022545766,0.11166318,0.03299006,0.13932903,0.09571032,0.147578,0.11152441,0.08438661,-0.25160164,0.11041859,0.32851046,0.10756191,0.3010966,-0.08803508
0.03505309,-0.0011097575,-0.20466296,0.049615115,0.0036354372,0.083315276,0.22994193,0.28846517,0.017854357,0.20095262,-0.06868707,0.069472626,-0.12321332,-0.037521522,0.2215886,0.18905371,0.32533073,-0.10970162
0.07148439,0.07964795,-0.0957102,0.028418789,0.09353168,0.19992352,0.2780704,0.21222234,0.16003835,0.1378907,0.07590452,0.10279924,-0.14357284,0.044443913,0.44420794,0.3502304,0.4731822,0.00075176544
0.16434339,0.20255922,0.41439444,0.2350513,0.18108115,-0.01776607,0.14831021,0.018854648,0.35702014,-0.07759403,0.0390417,-0.023173716,0.4248082,0.22641852,0.12055941,0.20588037,-0.14100562,0.22529343
0.028479509,-0.20233731,-0.28020763,0.08147326,-0.20845333,0.039969973,-0.08577748,-0.040773645,-0.032133438,0.15873854,0.02769832,0.20316029,-0.27298886,-0.11215897,0.09872934,0.031164162,0.21275204,-0.25168818
0.029928913,0.10917449,-0.21766782,-0.005363056,0.080625504,0.31314325,-0.08197851,0.15689729,0.18453276,0.2711708,0.094198346,0.24400966,-0.15809256,-0.026945896,0.29510057,0.027550355,0.2557147,-0.19220954
0.002628751,-0.18804131,-0.21435586,0.07765269,-0.19737849,-0.07390091,-0.23438591,-0.21413916,-0.15471637,0.019890029,-0.10515259,-0.034054067,-0.21201214,-0.13695933,-0.20326069,-0.19628644,-0.1671459,-0.28011817
0.18244955,0.022059625,0.026423797,0.03456392,0.01073877,0.07596292,0.046640597,0.068140104,0.23549306,0.09690161,0.17404675,0.14816356,-0.19204265,0.24489668,0.27807397,0.22750461,0.23095608,-0.013716282
0.29275334,0.022202859,-0.07717694,-0.028142035,0.039633777,0.20594135,0.27571428,0.15469314,0.11141215,0.0583079,0.17316046,0.008497969,-0.074201345,0.15632075,0.39034027,0.3240592,0.38375765,0.14804873
0.18298703,-0.073618345,-0.16633853,-0.13552125,-0.064640835,-0.05550641,-0.20081544,-0.034443717,0.10310242,0.15083973,0.030482916,0.10515693,-0.19214487,-0.08717209,0.03039451,0.018692551,0.0034940531,-0.26217633
0.09314591,-0.2661645,-0.30746695,-0.07266642,-0.23691201,-0.0665119,-0.20790485,-0.16377243,-0.20385307,0.10807145,-0.033288278,-0.04064253,-0.20513749,-0.3391532,0.03565532,-0.08905259,0.0014448985,-0.23317511
0.13929853,0.057669252,-0.11016295,0.076383695,0.047834918,0.29723004,-0.06526442,0.14058004,0.28267825,0.22498025,0.011765407,0.32248616,-0.18225408,0.014229393,0.27939114,-0.04747393,0.29710543,-0.23347625
0.3061305,0.13881399,-0.026301745,0.0022155265,0.12142821,0.23415655,0.07322657,0.16820899,0.24822645,0.08083031,0.045538362,0.04025406,0.083578676,0.032990858,0.18599708,0.19491863,0.1440849,-0.13788776
0.08317284,-0.07170509,-0.16812865,0.053649127,-0.055107035,0.100091144,-0.12962571,-0.021592855,0.059679866,0.02373668,0.04892073,0.0995287,-0.1900815,-0.120485835,0.076964065,0.041827608,0.16561544,-0.2137391
0.07462666,0.12114872,-0.12160401,0.1189436,0.11459791,0.110346854,0.17748955,0.13328972,0.2099257,0.13182425,0.14963362,0.10781712,-0.14255106,0.2508731,0.3612774,0.1298105,0.3556058,0.07224387
0.03992451,-0.19595987,-0.2847402,-0.014330265,-0.15916473,0.060251307,-0.07138938,-0.11577302,-0.07057434,0.044992294,0.1620293,-0.058357276,-0.29007453,0.0051454557,0.15428846,0.076469705,0.113193125,-0.17614304
0.049997136,0.24121037,0.051024742,-0.04579446,0.19378291,0.34993798,0.13153931,0.19533287,0.22214815,0.12321042,0.13697888,0.14098361,-0.18028888,0.20388527,0.3527133,0.21743484,0.3370849,-0.024342231
0.3069672,-0.05744783,-0.13817263,0.09426799,-0.062290877,0.10323553,0.077645145,0.17622104,0.23680463,0.073713124,0.09519998,0.11797249,0.088921875,-0.080976605,0.30076396,0.3032298,0.27314657,-0.10488529
0.27510265,0.07103661,0.35430634,0.25515136,0.09180176,0.15667138,0.07193817,0.037087716,0.12684412,0.0027642415,0.14249453,0.09643598,-0.13601902,0.020363541,0.17831004,0.16491191,0.1614795,0.0025366307
0.22895178,0.08862752,-0.012223704,0.23756732,0.10327526,0.21515897,-0.080143064,0.020834927,0.3374421,0.08487734,0.067396805,0.16440032,0.2008923,-0.040732495,0.16274193,0.12606736,0.12333863,-0.09845178
