0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
-0.05292826,0.25138912,-0.1597711,0.18049586,0.3799345,0.26527995,0.038290493,0.037344977,0.2769878,0.13367799,-0.23090649,-0.17993349,-0.11544137,-0.14072582,0.23075074,0.1550962,0.34151298,0.19870321,0.09369868,0.39005244,-0.11318287,-0.253445,0.10045998,-0.122866936,0.034195226,-0.14436196,0.09368039,0.07332064,0.16720644,-0.21027447,-0.140113,-0.045716677,0.32415104,3.589876e-05,0.31279886,-0.23354346,-0.20905334,0.110158324,0.07130541,-0.23893064,0.2800493,0.06037832,-0.23041072,0.16719359,-0.2784552,0.36320186,-0.09641408,-0.08108501,-0.07095182,-0.18350577,-0.17167127,-0.022450985,-0.09839478,0.018309372,0.2432029,0.20678177,0.14872721,0.14100924,0.30390906,-0.04497495,-0.113259,0.01893684,0.23162925,0.022805512,0.16196996,-0.0030150113,0.15411988
0.055638995,0.32885152,0.12663296,0.106061794,0.35011756,0.36628148,0.14262062,0.074560195,0.18798456,0.37781247,-0.15767874,-0.053413734,0.06893195,0.060157474,0.37437952,0.28903192,0.35689777,0.25827885,-0.27544594,0.2945727,0.15611894,-0.107842915,0.22192284,-0.21415126,0.13969702,0.14761981,-0.13011649,0.09756091,0.2070666,0.033186384,0.118791,-0.17179742,0.42871237,-0.10991441,0.08649519,-0.09641478,0.0038586673,0.11422233,0.16841035,-0.029559987,0.40289056,0.44795913,-0.24006948,0.32495576,-0.08050136,0.2161665,0.32514542,0.07939604,0.28012896,-0.07595664,0.008214762,-0.14073202,0.11976684,0.09105663,0.14015636,0.28922048,0.22865857,0.21998587,0.31145984,0.28382933,0.1621169,0.32929158,0.009389461,0.004315015,0.22699186,-0.052523233,0.4342761
0.18563128,0.21755503,0.44892502,0.3563663,0.29940164,0.3877848,0.29760528,0.039141834,0.39119232,0.30251402,0.071819335,0.3868435,0.06744281,0.4424848,0.39482367,0.10388147,0.2163369,0.118302174,-0.15404722,0.37811756,0.28034788,0.31256878,0.47036606,0.014036967,0.2986943,0.07670515,0.056801572,0.15284687,0.11491546,0.08739037,0.26141155,0.039039414,0.45545983,0.14429474,0.105950624,0.22875473,0.22658633,0.36791176,0.26199496,0.23507874,0.28267258,0.3441716,0.020642493,0.19682565,0.15483719,0.17716175,0.30506936,0.30765262,0.25578615,0.28555152,0.050975993,0.13660944,0.23160948,0.19477613,0.15199366,0.17163835,0.13764244,0.37349027,0.16835584,0.24192111,0.37695047,0.16278718,-0.005568507,0.16794217,0.080385484,0.123825416,0.41086784
-0.10480286,-0.06300407,0.15605456,0.24977148,0.18746218,-0.28988376,0.30877835,0.054176793,0.13035294,0.094590634,0.30398744,0.32735395,-0.036271244,0.19505404,-0.14464417,-0.06940221,-0.12011387,-0.027649637,0.061719216,-0.1285545,0.2749827,0.19632097,0.10850164,0.5635214,0.3106874,0.21101023,0.073320545,0.15980549,0.04303276,0.08739717,0.21438575,0.49126577,-0.0965938,0.031730358,-0.11776312,0.16369987,0.2575339,-0.107135445,0.024393674,0.2726699,-0.034151092,0.22627464,0.54630196,-0.01074613,0.20765638,-0.06231314,0.22675824,0.003977689,0.17357995,0.17099056,0.2870533,0.16647062,-0.058574483,-0.061423477,0.11774394,0.011893488,-0.09847103,-0.07492411,-0.07905234,0.21060614,0.27782655,-0.0887734,-0.03763218,0.35833204,-0.19781739,0.30144554,-0.053224117
0.52157533,0.11179314,-0.05200015,0.274005,0.17181465,-0.042304203,0.1997242,-0.06657616,0.2927798,0.21230128,-0.22550854,-0.034674846,0.06719287,0.073967814,0.30455905,0.020663587,0.23069349,0.020906303,0.18979457,0.2535042,-0.07930547,0.0021933257,0.045795016,-0.13320845,0.19832373,-0.0047047623,0.17584999,0.03740774,-0.0005729133,-0.06565325,-0.027321137,-0.074985735,0.2310678,0.36095762,0.44770706,0.007376874,0.00036017364,0.23917536,0.039538994,0.042805433,0.20310417,0.06724107,-0.22650969,0.23484647,0.18154281,0.30947754,0.040749006,0.29716808,0.032939237,0.31326014,-0.0069958363,0.14077035,0.07604066,0.23383577,0.20861048,0.15115878,0.20881599,0.17585245,0.11964631,0.07455702,0.114536285,0.13196746,0.13345875,0.1435022,0.160188,0.058794767,0.15980345
-0.0827907,0.1468386,-0.038564354,-0.14658965,0.18212101,-0.049416468,-0.092609555,-0.013889964,-0.20037451,0.2461756,-0.21770358,-0.073478065,-0.016924657,-0.083004996,0.09628254,0.24986851,0.031940296,0.27623457,-0.20723772,-0.08270024,-0.09431653,-0.32310995,-0.09986341,-0.19342579,-0.09651001,0.21378583,-0.17812183,0.013279162,0.17169026,-0.10495731,-0.12973207,-0.15235013,0.02914216,-0.052389607,0.1038274,-0.38682997,-0.21593407,-0.18647957,-0.18656327,-0.27358988,-0.005677306,0.31610966,-0.14378434,0.29804897,-0.2190972,-0.04208515,0.2207464,-0.17584962,0.307148,-0.12866715,-0.0016165671,-0.3254852,0.03794328,-0.07768477,-0.0025409358,0.0021612784,0.15908305,-0.027296718,0.17739199,0.3006019,0.064917214,0.13117276,-0.028717706,-0.12257749,0.20105675,-0.21345755,0.121695325
0.25250772,-0.044393264,-0.09857046,-0.30872536,-0.3443775,-0.013873641,-0.18021408,-0.09469208,-0.2633171,-0.13363308,-0.06252775,0.0077466313,-0.057538196,0.010943785,0.018825404,-0.11112834,-0.14764223,-0.1773563,-0.08772721,-0.23297559,-0.44573638,0.06716646,-0.2010489,-0.21393657,-0.17957063,-0.20824054,-0.1914423,-0.2812432,-0.29565066,-0.24850048,-0.32103062,-0.22817379,0.040249437,0.4757489,0.513178,-0.17161213,-0.3546791,0.21366817,-0.08845238,-0.25614792,-0.14581151,-0.30125716,-0.25035954,-0.010324763,-0.12070128,-0.114461035,-0.22923386,0.20273714,-0.20274627,0.038608845,-0.070628166,-0.31364736,-0.04243435,0.19039969,-0.08886193,-0.17290835,-0.10075882,0.16572443,-0.23173828,-0.18140689,-0.102081835,-0.13469887,0.02897568,-0.13093889,0.03878777,-0.2832519,0.049587213
-0.054575056,0.26573455,0.12820737,0.09978533,0.2489663,0.11374113,0.17412722,0.14197084,0.05863204,0.27142775,-0.22637805,0.15417978,-0.005307313,0.12688906,-0.030472238,0.11428243,0.49140853,-0.0077192327,0.03381203,0.04477966,-0.09410753,-0.1328147,-0.0919154,0.28293598,0.1702275,0.14886662,0.035156555,0.06607418,0.00570569,-0.09123899,-0.068581976,0.29117066,0.20101815,-0.06409669,0.15110452,-0.14999515,-0.13345183,0.11811271,-0.0882413,-0.050692774,0.61621255,0.30306908,0.26357543,0.2237636,-0.098044954,0.35540867,0.26467514,-0.041888867,0.16659169,-0.0041629057,-0.037645023,-0.057419367,0.12724765,0.24635305,0.20731881,0.6441045,0.05978453,0.28292072,0.124309644,0.18775539,0.046612367,0.14152668,0.31433287,0.107933775,0.027146043,0.16632414,0.10408096
-0.008911461,0.36003846,-0.011745314,0.29327136,0.41505042,0.55475944,0.25155908,0.22130933,0.39778638,0.15625146,-0.07147789,-0.14181113,0.044565547,-0.049349084,0.24625663,0.2743724,0.4864086,0.17318058,0.09750603,0.47018284,0.16562861,0.0006541312,0.29243103,-0.02693342,0.24884045,0.04381503,0.136192,0.23031127,0.21758385,0.13154325,0.17216118,0.06684382,0.49043238,-0.19138855,0.070148855,0.090628035,0.06073228,0.21930078,0.30301833,0.08819839,0.5029702,0.17898992,-0.16044647,0.14212656,-0.06263955,0.482086,0.08035739,0.08902562,-0.00965775,-0.11904077,-0.030857213,0.11394892,0.045233272,0.093876764,0.33291832,0.38688207,0.117130965,0.26294336,0.34787667,-0.006179979,0.0070225857,0.14290977,0.30075866,0.0028686654,0.08427635,0.21561219,0.32457894
-0.003430718,0.31671032,0.065159015,0.026069324,-0.008051735,0.41738543,0.19824673,0.102619246,0.028037384,-0.055534124,0.32861578,0.059282146,-0.015251791,0.11864865,0.14899284,0.07644621,0.12930977,0.149161,0.12161333,0.083323576,0.02590099,0.27223867,0.13446248,-0.020665035,0.1987688,-0.15573229,0.032251082,0.1671884,0.1301105,0.07336597,0.10694887,0.08155624,0.26627505,0.24001561,0.25858527,0.18997039,-3.9393548e-05,0.4346473,0.3809029,0.00274078,-0.0033891657,-0.1074364,-0.033655293,0.017119627,-0.03827114,0.13357484,-0.15408762,0.27300894,-0.15676142,-0.07716322,-0.024375454,0.027314369,0.018215401,0.083801515,0.2766566,-0.0018203603,0.06766838,0.33120495,0.12629402,-0.13739935,0.023953132,-0.07515167,0.15170345,0.19198415,0.108619064,-0.012956185,0.1246685
