0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.20647278,-0.1457932,-0.107602246,-0.01997945,-0.25446686,0.106823355,-0.1392951,-0.22393751,-0.26336923,-0.15116408,-0.25782436,-0.052009445,-0.22929457,-0.108051285,-0.092163295
-0.17121983,-0.15109184,-0.13236567,-0.020057034,-0.29092413,0.106262095,-0.17744045,-0.21064526,-0.30489457,-0.18551987,-0.28630078,-0.047816932,-0.27601102,-0.11448178,-0.1216722
-0.007035954,0.07993514,-0.004981906,0.39208937,-0.06258743,0.10379783,0.031585686,0.08732325,-0.027467223,-0.051997975,-0.17992789,-0.16844302,-0.06614464,0.17601058,-0.017391339
0.024522644,0.06563759,-0.02835689,0.41298735,-0.05953694,0.048478108,0.04549185,0.115434155,-0.04342518,-0.067442805,-0.21241298,-0.18462469,-0.08903836,0.11922509,-0.00681463
-0.27356657,-0.2823832,-0.17786224,-0.20791477,-0.20638639,-0.050051525,-0.1272778,-0.22442421,-0.13372603,-0.18853012,-0.25561845,-0.096351966,-0.09480439,-0.19495563,-0.1388059
-0.30099788,-0.24609458,-0.120236576,-0.10382684,-0.16871145,-0.044739153,-0.11716738,-0.21983686,-0.14231023,-0.25797796,-0.27816924,-0.13046932,-0.12595999,-0.16142207,-0.09844907
0.083037,0.11201027,0.080187485,-0.10079562,-0.22002625,-0.17293563,-0.08521261,0.15973756,-0.23978987,-0.15750125,-0.16042085,0.1910057,-0.2609829,-0.1795953,-0.056023072
0.1967741,0.15970978,0.09843938,-0.070761874,-0.19223484,-0.14040598,0.00800194,0.14398605,-0.23297942,-0.085400306,-0.12494747,0.1336249,-0.22225662,-0.15860638,0.025801526
0.12038192,0.165212,0.023121513,0.0042063077,-0.113124765,-0.105272174,0.017738495,0.22181997,-0.22828224,-0.023026146,-0.116530865,0.20150083,-0.22760886,-0.13238706,-0.0011272824
0.115535304,0.117182955,-0.0149676185,-0.0109457355,-0.106249675,-0.09348485,-0.0017060488,0.17873535,-0.18290573,-0.05535157,-0.08521222,0.19749913,-0.18707585,-0.09556702,-0.0526873
0.030352492,-0.24656504,-0.23702627,-0.09781858,-0.1835849,-0.047115326,-0.10646182,-0.053849444,0.22398467,0.13886699,0.2111597,-0.13279566,0.2964098,-0.07166527,-0.22141922
0.02513849,-0.29702163,-0.2921229,-0.10196161,-0.20050326,-0.064264275,-0.1583204,-0.0729634,0.20256965,0.07647483,0.15990967,-0.17034757,0.2602113,-0.11408807,-0.26733437
-0.3266917,-0.1844069,-0.21020496,-0.0695103,-0.23661779,0.11588414,-0.017993947,-0.30966645,-0.036792874,-0.21957317,-0.3671736,-0.13746892,-0.1273161,-0.056845196,-0.1421349
-0.298748,-0.15732858,-0.20997968,-0.02233131,-0.24691239,0.14696938,-0.011161226,-0.3025734,-0.034321554,-0.18994974,-0.35334158,-0.1431901,-0.11852859,-0.018485004,-0.13237117
0.2427578,0.11669999,-0.15718198,0.009358661,-0.06860916,0.04895903,-0.020106677,0.022611849,-0.0412035,0.052127846,-0.05826863,0.027540527,-0.112654835,-0.024699869,0.04953353
0.26087308,0.10490456,-0.15731141,-0.0015938638,-0.09146747,0.033419944,-0.052920554,0.01997626,-0.028254166,0.045291737,-0.058904827,-0.033216737,-0.100406945,-0.058620445,0.046266943
-0.17919302,-0.10816188,-0.18606584,0.06809211,-0.19900168,0.10006754,0.008251524,-0.11358509,0.05727156,-0.1273395,-0.15508449,-0.019655082,-0.036475915,0.024149064,-0.18367736
-0.16531844,-0.07479321,-0.16219524,0.12213439,-0.15759274,0.12313909,0.036212206,-0.11838731,0.05407107,-0.12376161,-0.14962138,0.011082168,-0.04866536,0.07276275,-0.17735395
-0.036689125,0.056269057,-0.09542741,-0.01306999,0.33147615,0.10733387,0.1411558,-0.08754903,0.1656701,0.24352726,0.32481003,0.025881778,0.16633913,0.3544767,-0.03165628
-0.0006889382,0.01696949,-0.11203435,-0.029551368,0.31438652,0.09972048,0.1324532,-0.10374242,0.15683699,0.25495535,0.29691344,0.023654072,0.16635118,0.3407745,-0.053646445
0.29728466,-0.11890361,-0.063769326,0.16942681,-0.22988679,0.10070282,0.00047262828,0.2610885,-0.09772591,-0.09511669,-0.09078282,-0.12440297,-0.080795035,-0.11406882,-0.08659035
0.2698466,-0.102251574,-0.05600083,0.1810054,-0.18989709,0.12275544,0.036553495,0.30549604,-0.07604085,-0.07591878,-0.08766426,-0.12178825,-0.07596232,-0.07313769,-0.09431751
-0.08036185,-0.24781306,-0.37751782,-0.24425656,-0.10291639,0.26285613,-0.04167194,-0.21565263,0.29571795,0.2462573,0.24767104,-0.10505788,0.33015954,0.1860504,-0.3243683
-0.08004743,-0.25193557,-0.3698678,-0.23810042,-0.109542236,0.24136055,-0.049447767,-0.17637315,0.2864849,0.23967038,0.25245935,-0.10606472,0.32549927,0.18007265,-0.34388763
-0.2596231,-0.14100406,-0.09513262,-0.06717831,-0.11990723,0.12007719,0.07771999,-0.22794722,0.13657582,1.9477913e-05,-0.17735827,-0.04136151,0.092401795,0.01830447,0.006140648
-0.26023299,-0.11163223,-0.0933562,-0.047624633,-0.11331259,0.13879867,0.08523155,-0.22912115,0.13268532,0.029430218,-0.1747343,-0.041219134,0.08605587,0.036509804,0.02419488
0.36558354,0.24647334,0.18930165,0.051360995,-0.06415501,-0.067965046,0.04488066,0.1239678,0.0047992878,0.29147273,0.28477532,0.122816496,0.10198455,0.033579044,0.23684247
0.35745785,0.23864576,0.18019997,0.042061076,-0.0798585,-0.06397845,0.029160112,0.1239318,0.0062549473,0.2919799,0.26291105,0.13456066,0.09996649,0.019836126,0.22314328
0.121255666,0.29961222,0.10006748,0.49676782,-0.008230689,0.2322447,0.25624958,0.06261796,-0.19457075,0.11307955,-0.14802966,-0.20817114,-0.1312769,0.16974312,0.2769463
0.10117957,0.30335867,0.0973642,0.48736593,-0.0030119221,0.24432567,0.23314735,0.04000804,-0.19650157,0.11941791,-0.12899089,-0.2122683,-0.1338806,0.18501046,0.2742701
0.29196486,-0.17561935,-0.17761421,-0.039737187,0.15287432,0.08626615,0.016012603,-0.023498032,0.25771514,0.17567815,0.31336462,0.04866689,0.2872328,0.17257252,-0.035499923
0.29523152,-0.20246428,-0.21025383,-0.041339844,0.107950844,0.071412995,-0.0155241415,-0.052572817,0.26700032,0.16659498,0.30179965,0.062124833,0.29184723,0.14912152,-0.08335137
-0.25136334,-0.24307442,-0.2267887,-0.24013022,-0.37661418,0.054047488,-0.1986185,-0.3196378,-0.23346159,-0.35326642,-0.38795966,-0.058459572,-0.26132137,-0.25043347,-0.26081663
-0.2232558,-0.2245399,-0.22360033,-0.2514819,-0.41951084,0.026193451,-0.22483346,-0.31964225,-0.23395035,-0.36008623,-0.3961942,-0.033337403,-0.26893348,-0.26648852,-0.26013756
